t s
0.1 -0.13
0.2 0.2
0.3 0.32
0.4 0.77
0.5 1.02
0.6 1.75
0.7 2.56
0.8 3.12
0.9 3.86
1 4.94
1.1 5.97
1.2 7.02
1.3 8.26
1.4 9.44
1.5 11.09
1.6 12.56
1.7 14.24
1.8 15.89
1.9 17.74
2 19.59
2.1 21.7
2.2 23.72
2.3 25.85
2.4 28.32
2.5 30.6
2.6 33.07
2.7 35.97
2.8 38.43
2.9 41.3
3 44.08
3.1 47.16
3.2 50.32
3.3 53.36
3.4 56.84
3.5 60.05
3.6 63.53
3.7 67.11
3.8 70.71
3.9 74.59
4 78.54
4.1 82.33
4.2 86.46
4.3 90.57
4.4 94.77
4.5 99.24
4.6 103.64
4.7 108.14
4.8 113
4.9 117.55
5 122.66
5.1 127.4
5.2 132.61
5.3 137.75
5.4 142.85
5.5 148.21
5.6 153.7
5.7 159.09
5.8 164.92
5.9 170.59
6 176.35
6.1 182.31
6.2 188.38
6.3 194.34
6.4 200.68
6.5 206.87
6.6 213.51
6.7 219.87
6.8 226.63
6.9 233.18
7 240
7.1 247.07
7.2 254.03
7.3 261.12
7.4 268.38
7.5 275.57
7.6 283.1
7.7 290.58
7.8 298.05
7.9 305.8
8 313.66
8.1 321.33
8.2 329.28
8.3 337.58
8.4 345.72
8.5 353.93
8.6 362.42
8.7 371
8.8 379.36
8.9 388.03
9 396.7
9.1 405.72
9.2 414.59
9.3 423.71
9.4 432.95
9.5 442.52
9.6 451.49
9.7 460.97
9.8 470.54
9.9 480.2
10 489.97
